,Sid,Income,Outcome,Ratio,Borough
294,3016,1039.0,992.0,0.51157065485,Manhattan
295,332,1620.0,1641.0,0.496780128795,Manhattan
296,344,637.0,640.0,0.498825371966,Brooklyn
297,414,1135.0,1269.0,0.472129783694,Brooklyn
298,392,1399.0,1596.0,0.467111853088,Brooklyn
299,464,845.0,836.0,0.502676977989,Manhattan
300,343,674.0,725.0,0.481772694782,Brooklyn
301,228,2569.0,2643.0,0.492900997698,Manhattan
302,322,1272.0,1341.0,0.486796785304,Brooklyn
303,2023,2078.0,2067.0,0.501326899879,Manhattan
304,409,432.0,458.0,0.485393258427,Brooklyn
305,524,2509.0,2990.0,0.456264775414,Manhattan
306,398,1646.0,1772.0,0.48156816852,Brooklyn
307,248,1002.0,1006.0,0.499003984064,Manhattan
308,517,6000.0,4313.0,0.581789973819,Manhattan
309,282,1247.0,1219.0,0.505677210057,Brooklyn
310,337,1874.0,2177.0,0.462601826709,Manhattan
311,2001,200.0,261.0,0.433839479393,Brooklyn
312,534,1827.0,1787.0,0.505534034311,Manhattan
313,152,2382.0,2422.0,0.495836802664,Manhattan
314,364,758.0,640.0,0.542203147353,Brooklyn
315,309,2975.0,2956.0,0.501601753499,Manhattan
316,3014,315.0,166.0,0.654885654886,Brooklyn
317,362,2499.0,2257.0,0.525441547519,Manhattan
318,144,802.0,835.0,0.489920586439,Brooklyn
319,267,2172.0,2164.0,0.500922509225,Manhattan
320,242,718.0,784.0,0.478029294274,Brooklyn
321,119,249.0,246.0,0.50303030303,Brooklyn
322,484,3327.0,3317.0,0.5007525587,Manhattan
323,419,576.0,547.0,0.512911843277,Brooklyn
324,437,805.0,826.0,0.49356223176,Brooklyn
325,218,526.0,772.0,0.405238828968,Brooklyn
326,2005,68.0,72.0,0.485714285714,Brooklyn
327,3181,1214.0,1234.0,0.49591503268,Manhattan
328,3120,551.0,621.0,0.470136518771,Queens
329,3182,1040.0,1029.0,0.502658289029,Manhattan
330,540,2605.0,2629.0,0.497707298433,Manhattan
331,481,940.0,1002.0,0.48403707518,Brooklyn
332,384,771.0,810.0,0.487666034156,Brooklyn
333,3125,281.0,285.0,0.496466431095,Queens
334,3130,172.0,146.0,0.540880503145,Queens
335,3126,579.0,510.0,0.531680440771,Queens
336,3121,267.0,237.0,0.529761904762,Queens
337,3124,853.0,792.0,0.518541033435,Queens
338,3117,387.0,414.0,0.483146067416,Brooklyn
339,3129,895.0,955.0,0.483783783784,Queens
340,3113,492.0,498.0,0.49696969697,Brooklyn
341,3108,485.0,490.0,0.497435897436,Brooklyn
342,3119,803.0,835.0,0.490231990232,Queens
343,3112,627.0,623.0,0.5016,Brooklyn
344,3127,229.0,239.0,0.489316239316,Queens
345,3115,473.0,524.0,0.474423269809,Brooklyn
346,3109,314.0,308.0,0.504823151125,Brooklyn
347,3110,414.0,377.0,0.523388116308,Brooklyn
348,3111,381.0,374.0,0.504635761589,Brooklyn
349,3118,390.0,339.0,0.534979423868,Brooklyn
350,3107,645.0,684.0,0.48532731377,Brooklyn
351,3102,467.0,438.0,0.516022099448,Brooklyn
352,3098,206.0,202.0,0.504901960784,Brooklyn
353,3103,534.0,520.0,0.506641366224,Brooklyn
354,3101,571.0,578.0,0.496953872933,Brooklyn
355,3123,117.0,125.0,0.48347107438,Queens
356,3092,589.0,588.0,0.500424808836,Brooklyn
357,3087,464.0,434.0,0.516703786192,Brooklyn
358,319,718.0,728.0,0.496542185339,Manhattan
359,3104,1386.0,1483.0,0.483095155106,Brooklyn
360,3095,92.0,98.0,0.484210526316,Brooklyn
361,3090,829.0,862.0,0.490242460083,Brooklyn
362,3088,217.0,228.0,0.487640449438,Brooklyn
363,3094,225.0,219.0,0.506756756757,Brooklyn
364,3084,216.0,217.0,0.498845265589,Brooklyn
365,3106,376.0,312.0,0.546511627907,Brooklyn
366,3097,205.0,181.0,0.531088082902,Brooklyn
367,3081,173.0,168.0,0.507331378299,Brooklyn
368,3091,206.0,189.0,0.521518987342,Brooklyn
369,3083,264.0,249.0,0.514619883041,Brooklyn
370,3073,138.0,149.0,0.480836236934,Brooklyn
371,3075,134.0,134.0,0.5,Brooklyn
372,3079,231.0,241.0,0.489406779661,Brooklyn
373,3077,251.0,220.0,0.532908704883,Brooklyn
374,3069,81.0,89.0,0.476470588235,Brooklyn
375,3071,116.0,136.0,0.460317460317,Brooklyn
376,3074,328.0,337.0,0.493233082707,Brooklyn
377,3076,133.0,142.0,0.483636363636,Brooklyn
378,3070,71.0,60.0,0.541984732824,Brooklyn
379,3065,87.0,81.0,0.517857142857,Brooklyn
380,3072,85.0,103.0,0.452127659574,Brooklyn
381,3067,97.0,94.0,0.507853403141,Brooklyn
382,3060,82.0,69.0,0.543046357616,Brooklyn
383,3068,83.0,95.0,0.466292134831,Brooklyn
384,3066,77.0,74.0,0.509933774834,Brooklyn
385,3062,72.0,61.0,0.541353383459,Brooklyn
386,3063,56.0,69.0,0.448,Brooklyn
387,3064,121.0,160.0,0.430604982206,Brooklyn
388,3061,35.0,30.0,0.538461538462,Brooklyn
389,3179,43.0,50.0,0.462365591398,Brooklyn
390,3086,299.0,305.0,0.495033112583,Brooklyn
391,3093,481.0,481.0,0.5,Brooklyn
